City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hithadhoo,MV,78.33,overcast clouds,-0.6,73.0833,Scoop Guest House
5,Kutum,SD,75.43,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
19,San Patricio,US,77.83,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
20,Vaini,TO,78.96,light rain,-21.2,-175.2,Keleti Beach Resort
23,Atuona,PF,78.21,scattered clouds,-9.8,-139.0333,Villa Enata
25,Ixtapa,MX,75.22,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
31,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
32,Bac Lieu,VN,85.87,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
35,Sao Filipe,CV,78.28,overcast clouds,14.8961,-24.4956,Hotel Xaguate
41,Talaja,IN,80.55,few clouds,21.35,72.05,Velvettas Resorts
44,Papar,MY,89.6,overcast clouds,5.7333,115.9333,Koposizon Homestay
45,Gorontalo,ID,84.45,scattered clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
47,Moussoro,TD,80.94,broken clouds,13.6408,16.4901,Hôtel Maltina
49,Cabinda,AO,75.11,broken clouds,-5.55,12.2,Hotel Maiombe
58,Blackwater,AU,81.28,clear sky,-23.5833,148.8833,Blackwater Motor Inn
61,Sorong,ID,77.54,overcast clouds,-0.8833,131.25,waigo splash hotel
64,Murshidabad,IN,85.24,broken clouds,24.1833,88.2667,Hotel Raymond
65,Sao Felix Do Xingu,BR,77.77,few clouds,-6.6447,-51.995,Rio Xingu Camping
70,Alice Springs,AU,78.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
76,Tual,ID,79.7,broken clouds,-5.6667,132.75,Grand Vilia Hotel
82,Cotoca,BO,76.86,overcast clouds,-17.8167,-63.05,Sede Parque de los Recuerdos
83,Maragogi,BR,75.42,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
84,Manaure,CO,81.81,overcast clouds,11.7751,-72.4445,Hotel Palaaima
91,Maunabo,PR,81.05,broken clouds,18.0072,-65.8993,Maunacaribe
92,Tres Picos,MX,77.56,overcast clouds,15.8667,-93.5333,Tres picos Chiapas
100,Matara,LK,84.78,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
101,Bengkulu,ID,84.83,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
102,Nanchong,CN,84.0,overcast clouds,30.7951,106.0847,Marine Una Century Hotel
114,Hilo,US,76.8,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
