City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,41.11,87,75,2.3,broken clouds
1,Hithadhoo,MV,-0.6,73.0833,78.33,85,100,12.62,overcast clouds
2,Bluff,NZ,-46.6,168.3333,53.8,70,99,17.65,overcast clouds
3,Krasnovishersk,RU,60.4078,57.082,40.84,80,5,2.44,clear sky
4,Cap-Aux-Meules,CA,47.3821,-61.8597,57.22,100,61,5.75,broken clouds
5,Kutum,SD,14.2,24.6667,75.43,24,98,8.03,overcast clouds
6,Leningradskiy,RU,69.3833,178.4167,27.81,92,100,12.73,light snow
7,Arraial Do Cabo,BR,-22.9661,-42.0278,67.6,64,11,15.48,few clouds
8,Rikitea,PF,-23.1203,-134.9692,73.99,77,100,21.43,overcast clouds
9,Kungurtug,RU,50.5994,97.5228,51.73,31,51,5.35,broken clouds
10,Chuy,UY,-33.6971,-53.4616,55.27,95,94,6.11,overcast clouds
11,Longyearbyen,SJ,78.2186,15.6401,44.44,76,75,17.27,light rain
12,Dalhousie,IN,32.5333,75.9833,63.55,69,2,3.24,clear sky
13,Tasiilaq,GL,65.6145,-37.6368,27.34,62,93,4.63,overcast clouds
14,Mataura,NZ,-46.1927,168.8643,53.47,71,97,7.05,overcast clouds
15,Aguimes,ES,27.9054,-15.4461,68.63,67,20,9.22,few clouds
16,Hobart,AU,-42.8794,147.3294,48.25,82,90,1.99,overcast clouds
17,Ushuaia,AR,-54.8,-68.3,44.26,65,75,14.97,light intensity drizzle
18,Aurora,US,39.7294,-104.8319,71.67,26,75,1.01,broken clouds
19,San Patricio,US,28.017,-97.5169,77.83,51,0,7.92,clear sky
20,Vaini,TO,-21.2,-175.2,78.96,83,75,10.36,light rain
21,Nioro,GM,13.35,-15.75,76.01,95,100,1.54,overcast clouds
22,Port Lincoln,AU,-34.7333,135.8667,58.57,51,56,17.81,broken clouds
23,Atuona,PF,-9.8,-139.0333,78.21,73,30,16.64,scattered clouds
24,Lebu,CL,-37.6167,-73.65,49.89,86,0,10.18,clear sky
25,Ixtapa,MX,20.7,-105.2,75.22,94,90,11.5,overcast clouds
26,Nanortalik,GL,60.1432,-45.2371,34.54,71,30,15.95,scattered clouds
27,College,US,64.8569,-147.8028,37.58,65,75,1.01,broken clouds
28,Usinsk,RU,65.9939,57.5281,39.02,92,100,6.49,overcast clouds
29,Grindavik,IS,63.8424,-22.4338,42.75,87,75,9.22,broken clouds
30,Victoria,HK,22.2855,114.1577,91.96,81,52,17.11,broken clouds
31,Kapaa,US,22.0752,-159.319,82.38,73,100,1.01,light rain
32,Bac Lieu,VN,9.285,105.7244,85.87,66,100,9.93,overcast clouds
33,Nguruka,TZ,-5.1092,31.0419,70.47,42,73,6.33,broken clouds
34,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,93,20,8.05,few clouds
35,Sao Filipe,CV,14.8961,-24.4956,78.28,77,100,4.72,overcast clouds
36,Mar Del Plata,AR,-38.0023,-57.5575,48.22,100,38,0.0,scattered clouds
37,Yar-Sale,RU,66.8333,70.8333,40.05,84,100,9.35,overcast clouds
38,New Norfolk,AU,-42.7826,147.0587,47.91,73,76,8.01,broken clouds
39,Guerrero Negro,MX,27.9769,-114.0611,73.85,79,73,13.67,broken clouds
40,Kodiak,US,57.79,-152.4072,43.47,70,96,20.36,overcast clouds
41,Talaja,IN,21.35,72.05,80.55,70,13,3.91,few clouds
42,Carnarvon,AU,-24.8667,113.6333,73.47,68,0,18.41,clear sky
43,Mount Gambier,AU,-37.8333,140.7667,53.51,71,75,28.77,broken clouds
44,Papar,MY,5.7333,115.9333,89.6,64,99,3.36,overcast clouds
45,Gorontalo,ID,0.5412,123.0595,84.45,76,33,3.85,scattered clouds
46,Albany,US,42.6001,-73.9662,72.18,93,100,9.6,overcast clouds
47,Moussoro,TD,13.6408,16.4901,80.94,63,67,8.9,broken clouds
48,Sao Joao Da Barra,BR,-21.6403,-41.0511,66.79,62,47,4.5,scattered clouds
49,Cabinda,AO,-5.55,12.2,75.11,86,75,5.06,broken clouds
50,Puerto Ayora,EC,-0.7393,-90.3518,69.04,88,62,9.22,broken clouds
51,Luderitz,NA,-26.6481,15.1594,57.58,60,9,15.05,clear sky
52,Oytal,KZ,42.9057,73.2697,66.31,21,1,5.97,clear sky
53,Busselton,AU,-33.65,115.3333,63.09,46,1,9.42,clear sky
54,Ilulissat,GL,69.2167,-51.1,9.91,82,78,7.07,broken clouds
55,Lavrentiya,RU,65.5833,-171.0,32.61,71,98,5.88,overcast clouds
56,Mayo,US,38.8876,-76.5119,64.51,84,58,1.01,broken clouds
57,Torbay,CA,47.6666,-52.7314,53.28,92,40,4.0,scattered clouds
58,Blackwater,AU,-23.5833,148.8833,81.28,25,10,6.06,clear sky
59,Atbasar,KZ,51.8,68.3333,41.18,57,0,5.57,clear sky
60,Bethel,US,41.3712,-73.414,74.08,87,90,0.0,thunderstorm with heavy rain
61,Sorong,ID,-0.8833,131.25,77.54,89,100,17.38,overcast clouds
62,Ponta Do Sol,PT,32.6667,-17.1,72.23,57,27,2.75,scattered clouds
63,Carballo,ES,43.213,-8.691,62.91,90,82,6.55,broken clouds
64,Murshidabad,IN,24.1833,88.2667,85.24,73,68,3.04,broken clouds
65,Sao Felix Do Xingu,BR,-6.6447,-51.995,77.77,48,24,0.47,few clouds
66,Aviles,ES,43.5547,-5.9248,65.59,88,90,8.05,overcast clouds
67,Hudson Bay,CA,52.85,-102.3842,47.03,46,14,11.34,few clouds
68,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,75,100,5.82,overcast clouds
69,Hermanus,ZA,-34.4187,19.2345,55.9,88,33,8.03,scattered clouds
70,Alice Springs,AU,-23.7,133.8833,78.35,9,1,4.61,clear sky
71,Beloha,MG,-25.1667,45.05,68.09,86,24,8.08,few clouds
72,Chalus,IR,36.655,51.4204,67.46,83,20,0.0,few clouds
73,Guspini,IT,39.5406,8.6294,73.71,88,6,7.65,clear sky
74,Chokurdakh,RU,70.6333,147.9167,34.39,99,100,8.48,light rain
75,Ribeira Grande,PT,38.5167,-28.7,70.12,64,97,11.68,overcast clouds
76,Tual,ID,-5.6667,132.75,79.7,83,67,18.7,broken clouds
77,Sarakhs,IR,36.5449,61.1577,68.14,26,0,4.61,clear sky
78,Nome,US,64.5011,-165.4064,35.17,71,28,3.58,scattered clouds
79,Lucapa,AO,-8.4192,20.7447,62.58,90,100,1.88,overcast clouds
80,Codrington,AU,-38.2667,141.9667,53.19,74,64,25.17,broken clouds
81,Kaitangata,NZ,-46.2817,169.8464,55.53,59,55,8.14,broken clouds
82,Cotoca,BO,-17.8167,-63.05,76.86,52,98,11.03,overcast clouds
83,Maragogi,BR,-9.0122,-35.2225,75.42,86,10,9.24,clear sky
84,Manaure,CO,11.7751,-72.4445,81.81,78,100,8.05,overcast clouds
85,Rocha,UY,-34.4833,-54.3333,50.68,97,59,3.2,broken clouds
86,Jamestown,US,42.097,-79.2353,54.07,82,90,5.99,overcast clouds
87,Sioux Lookout,CA,50.1001,-91.917,61.18,71,75,3.44,broken clouds
88,Kruisfontein,ZA,-34.0033,24.7314,49.89,82,92,6.76,overcast clouds
89,Ambilobe,MG,-13.2,49.05,72.37,61,0,4.45,clear sky
90,Zyryanovsk,KZ,49.7386,84.2719,45.27,48,98,3.62,overcast clouds
91,Maunabo,PR,18.0072,-65.8993,81.05,93,84,1.39,broken clouds
92,Tres Picos,MX,15.8667,-93.5333,77.56,84,100,4.65,overcast clouds
93,Acari,PE,-15.4311,-74.6158,66.11,75,42,1.63,scattered clouds
94,Beringovskiy,RU,63.05,179.3167,35.6,79,100,23.94,overcast clouds
95,Constitucion,CL,-35.3333,-72.4167,54.19,71,0,6.78,clear sky
96,Norman Wells,CA,65.282,-126.8329,37.44,81,75,8.05,broken clouds
97,Qaanaaq,GL,77.484,-69.3632,17.49,61,100,5.32,overcast clouds
98,Agadir,MA,30.4202,-9.5982,64.85,86,7,2.39,clear sky
99,Lasa,IT,46.6166,10.7002,46.02,28,2,5.59,clear sky
100,Matara,LK,5.9485,80.5353,84.78,69,70,12.15,broken clouds
101,Bengkulu,ID,-3.8004,102.2655,84.83,66,55,5.03,broken clouds
102,Nanchong,CN,30.7951,106.0847,84.0,71,100,12.97,overcast clouds
103,Tessalit,ML,20.1986,1.0114,87.82,13,13,11.92,few clouds
104,Morros,BR,-9.4467,-46.3003,83.77,35,64,6.15,broken clouds
105,Koslan,RU,63.4564,48.8989,43.54,81,89,8.3,overcast clouds
106,Ayagoz,KZ,47.9714,80.4392,41.88,61,99,18.01,overcast clouds
107,Nesna,NO,66.1967,13.0213,44.71,73,96,10.87,overcast clouds
108,North Myrtle Beach,US,33.816,-78.68,67.01,89,0,1.01,clear sky
109,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.41,99,100,1.01,overcast clouds
110,Hamburg,DE,53.55,10.0,53.06,90,20,9.22,few clouds
111,Kaeo,NZ,-35.1,173.7833,65.32,66,20,10.65,few clouds
112,Thompson,CA,55.7435,-97.8558,48.36,93,90,16.11,overcast clouds
113,Bilibino,RU,68.0546,166.4372,28.62,77,83,3.18,broken clouds
114,Hilo,US,19.7297,-155.09,76.8,83,27,6.46,scattered clouds
115,East London,ZA,-33.0153,27.9116,61.74,72,0,10.36,clear sky
116,Montorio Al Vomano,IT,42.5831,13.6383,55.67,59,23,5.91,few clouds
117,Hailar,CN,49.2,119.7,57.02,63,100,3.91,moderate rain
118,Husavik,IS,66.0449,-17.3389,37.31,95,100,10.49,overcast clouds
119,Dikson,RU,73.5069,80.5464,34.47,71,19,9.33,few clouds
120,Cidreira,BR,-30.1811,-50.2056,60.64,95,100,9.08,overcast clouds
121,Butaritari,KI,3.0707,172.7902,82.36,77,9,16.2,light rain
122,Castro,BR,-24.7911,-50.0119,49.41,94,68,4.09,broken clouds
123,Dulce Nombre De Culmi,HN,15.1,-85.5333,84.43,97,41,2.51,scattered clouds
124,Scottsbluff,US,41.8666,-103.6672,63.03,47,91,1.99,overcast clouds
125,Saint George,US,37.1041,-113.5841,83.95,18,17,4.0,few clouds
126,Gewane,ET,10.1664,40.6453,79.65,60,24,7.92,few clouds
127,Vostok,RU,46.4856,135.8833,56.55,48,2,6.98,clear sky
128,Lagoa,PT,39.05,-27.9833,68.77,65,100,9.8,overcast clouds
129,Natal,BR,-5.795,-35.2094,77.22,88,40,5.75,scattered clouds
130,Ahipara,NZ,-35.1667,173.1667,59.67,70,75,14.43,broken clouds
131,Brae,GB,60.3964,-1.353,55.31,92,100,27.4,overcast clouds
132,Arteche,PH,12.2645,125.4048,85.39,74,86,5.66,overcast clouds
133,Pevek,RU,69.7008,170.3133,28.76,84,99,14.18,overcast clouds
134,Acapulco,MX,16.8634,-99.8901,79.99,85,68,4.54,broken clouds
135,Kamenskiy,RU,50.8855,45.488,46.09,91,78,3.83,broken clouds
136,Hutang,CN,31.5333,119.4833,89.73,55,87,17.05,overcast clouds
137,Cape Town,ZA,-33.9258,18.4232,58.87,92,75,1.01,broken clouds
138,Waw,SS,7.7029,27.9953,68.23,95,77,4.43,broken clouds
139,Grand Forks,US,47.9417,-97.4337,60.58,55,36,7.83,scattered clouds
140,Samarai,PG,-10.6167,150.6667,78.44,87,64,14.25,broken clouds
141,Pandan,PH,14.0453,124.1694,82.83,84,100,8.95,light rain
142,Bambous Virieux,MU,-20.3428,57.7575,73.22,83,75,17.27,light intensity shower rain
143,Yamada,JP,39.4667,141.95,69.55,79,61,11.07,broken clouds
144,Dudinka,RU,69.4058,86.1778,34.7,72,12,10.63,few clouds
145,Hala,PK,25.8131,68.4227,85.98,44,33,6.98,scattered clouds
146,Port Elizabeth,ZA,-33.918,25.5701,57.49,82,0,6.91,clear sky
147,Areosa,PT,41.7178,-8.8571,67.32,81,100,4.68,overcast clouds
148,Poum,NC,-20.2333,164.0167,71.1,66,87,7.56,overcast clouds
149,Nyurba,RU,63.2842,118.3319,45.25,60,100,5.23,overcast clouds
150,Beder,DK,56.0602,10.2118,52.83,78,55,19.04,broken clouds
151,Mahebourg,MU,-20.4081,57.7,73.26,83,75,17.27,light intensity shower rain
152,Yellowknife,CA,62.456,-114.3525,45.12,81,90,5.75,overcast clouds
153,Lompoc,US,34.6391,-120.4579,62.22,95,90,1.99,mist
154,Vangaindrano,MG,-23.35,47.6,68.47,84,83,3.42,broken clouds
155,Santa Isabel,BR,-23.3156,-46.2214,59.4,96,48,1.48,scattered clouds
156,Raigarh,IN,21.9,83.4,86.14,78,75,5.35,broken clouds
157,Esperance,AU,-33.8667,121.9,58.84,58,76,10.11,broken clouds
158,Ourinhos,BR,-22.9789,-49.8706,58.37,73,80,6.69,broken clouds
159,Nishihara,JP,26.1842,127.7558,87.08,58,40,16.11,scattered clouds
160,Inhambane,MZ,-23.865,35.3833,57.18,94,20,0.0,few clouds
161,Calama,CL,-22.4667,-68.9333,54.63,18,0,5.17,clear sky
162,Papara,BR,-3.9839,-38.7273,79.2,91,42,5.55,scattered clouds
163,Severo-Kurilsk,RU,50.6789,156.125,48.83,93,100,23.76,light rain
164,Balod,IN,20.73,81.2047,81.61,77,90,3.96,overcast clouds
165,Pingliang,CN,35.5392,106.6861,60.44,99,100,2.33,moderate rain
166,Tiksi,RU,71.6872,128.8694,38.52,73,47,23.6,scattered clouds
167,Maroantsetra,MG,-15.4333,49.7333,71.15,76,47,6.02,scattered clouds
168,Powell River,CA,49.8496,-124.5361,60.1,72,5,2.62,clear sky
169,Port Alfred,ZA,-33.5906,26.891,59.29,86,93,12.01,overcast clouds
170,Bredasdorp,ZA,-34.5322,20.0403,49.32,87,36,4.61,scattered clouds
171,Cabo San Lucas,MX,22.8909,-109.9124,85.6,83,2,4.0,clear sky
172,Pahrump,US,36.2083,-115.9839,84.06,24,43,1.99,scattered clouds
173,Havoysund,NO,70.9963,24.6622,45.48,74,51,23.8,light rain
174,Kavieng,PG,-2.5744,150.7967,84.79,68,20,11.39,few clouds
175,Yulara,AU,-25.2406,130.9889,80.44,8,62,5.75,broken clouds
176,Troitsko-Pechorsk,RU,62.7084,56.1964,38.28,88,93,3.22,overcast clouds
177,Coquimbo,CL,-29.9533,-71.3436,53.33,87,0,4.61,clear sky
178,Tchollire,CM,8.4022,14.1698,68.32,93,100,1.63,overcast clouds
179,Dukat,RU,62.55,155.55,44.96,54,25,6.2,scattered clouds
180,Souillac,MU,-20.5167,57.5167,73.36,83,75,17.27,light intensity shower rain
181,Cockburn Town,TC,21.4612,-71.1419,82.76,76,100,8.88,overcast clouds
182,Launceston,AU,-41.45,147.1667,55.04,58,90,26.46,overcast clouds
183,Griffith,US,41.5284,-87.4237,58.89,75,1,3.44,clear sky
184,Daru,PG,-9.0763,143.2092,77.11,85,100,15.32,overcast clouds
185,Khatanga,RU,71.9667,102.5,35.71,82,93,3.15,overcast clouds
186,Moss Vale,AU,-34.55,150.3833,72.16,37,2,13.65,clear sky
187,Maceio,BR,-9.6658,-35.7353,81.84,78,40,9.22,scattered clouds
188,Swinford,IE,53.95,-8.95,60.08,99,100,8.95,overcast clouds
189,Libertador General San Martin,AR,-23.8064,-64.7876,58.98,61,3,2.82,clear sky
190,Kloulklubed,PW,7.0419,134.2556,86.5,74,78,6.38,broken clouds
191,Qaqortoq,GL,60.7167,-46.0333,33.76,69,2,6.64,clear sky
192,Mosquera,CO,4.7059,-74.2302,51.89,87,75,3.44,broken clouds
193,Vestmannaeyjar,IS,63.4427,-20.2734,43.34,79,99,22.79,overcast clouds
194,Shimoda,JP,34.6667,138.95,79.16,64,14,8.25,few clouds
195,Srednekolymsk,RU,67.45,153.6833,42.35,59,100,0.89,overcast clouds
196,Camana,PE,-16.6228,-72.7111,61.02,87,57,6.38,broken clouds
197,Kainan,JP,34.15,135.2,82.51,50,31,8.9,scattered clouds
198,Olafsvik,IS,64.8945,-23.7142,41.7,90,93,21.72,overcast clouds
199,Jiuquan,CN,39.7432,98.5174,74.82,21,47,5.3,scattered clouds
200,Saskylakh,RU,71.9167,114.0833,33.85,97,100,8.16,overcast clouds
201,Padang,ID,-0.9492,100.3543,87.85,67,23,4.65,few clouds
202,Lukovetskiy,RU,64.2956,41.9211,44.58,91,100,8.25,overcast clouds
203,Szentlorinc,HU,46.0402,17.9872,52.05,74,100,4.9,overcast clouds
204,Kibre Mengist,ET,5.8833,38.9833,58.73,94,100,1.88,overcast clouds
205,Sinnamary,GF,5.3833,-52.95,79.47,86,68,10.76,broken clouds
206,Atasu,KZ,48.6814,71.6433,44.74,44,0,15.61,clear sky
207,Ramnagar,IN,29.4,79.1167,83.1,61,76,1.43,broken clouds
208,Ilembo,TZ,-9.25,33.3833,53.15,93,91,4.61,overcast clouds
209,Georgetown,MY,5.4112,100.3354,89.53,70,20,0.0,few clouds
210,Takoradi,GH,4.8845,-1.7554,75.4,93,96,6.64,light rain
211,Chandbali,IN,20.7833,86.7667,87.53,67,84,6.13,broken clouds
212,Kimberley,ZA,-28.7323,24.7623,62.29,39,0,13.8,clear sky
213,Mana,GF,5.6592,-53.7767,79.11,87,17,10.38,few clouds
214,Pestravka,RU,52.405,49.9583,57.4,44,100,17.09,light rain
215,Ramjibanpur,IN,22.8333,87.6167,85.77,73,33,4.21,scattered clouds
216,Isiro,CD,2.7739,27.616,64.13,100,100,2.04,light rain
217,Nouakchott,MR,18.0858,-15.9785,75.13,74,45,14.29,scattered clouds
218,Jilin,CN,43.0,126.0,67.03,64,8,4.47,clear sky
219,Bonham,US,33.5773,-96.1783,70.63,48,1,5.75,clear sky
220,Serenje,ZM,-13.2325,30.2352,56.43,80,4,5.14,clear sky
221,Kyshtovka,RU,56.555,76.6271,38.77,94,100,10.31,overcast clouds
222,Chernyshevskiy,RU,63.0128,112.4714,44.55,67,100,4.85,overcast clouds
223,Watsonville,US,36.9102,-121.7569,73.74,86,98,0.69,overcast clouds
224,Klaksvik,FO,62.2266,-6.589,52.72,85,100,31.23,overcast clouds
225,Vila Velha,BR,-20.3297,-40.2925,64.35,82,75,2.3,broken clouds
226,Linkoping,SE,58.4109,15.6216,49.39,68,10,20.71,clear sky
227,Salalah,OM,17.0151,54.0924,81.32,79,66,3.78,broken clouds
228,Erzin,TR,36.9559,36.2,63.12,64,46,5.84,scattered clouds
229,Antalaha,MG,-14.9003,50.2788,71.53,68,0,8.61,clear sky
230,Dwarka,IN,22.2394,68.9678,81.7,79,21,7.78,few clouds
231,San Cristobal,VE,7.7669,-72.225,73.58,98,100,2.89,overcast clouds
232,Nikolskoye,RU,59.7035,30.7861,45.01,84,100,11.32,overcast clouds
233,Buenaventura,CO,3.8801,-77.0312,73.13,96,92,0.78,overcast clouds
234,Ulaangom,MN,49.9811,92.0667,50.95,37,51,8.03,broken clouds
235,Kefamenanu,ID,-9.4467,124.4781,90.93,27,99,8.32,overcast clouds
236,Fort Nelson,CA,58.8053,-122.7002,51.39,37,75,6.91,broken clouds
237,Meulaboh,ID,4.1363,96.1285,85.46,65,34,2.95,scattered clouds
238,Krasnorechenskiy,RU,44.6265,135.3532,63.66,43,20,5.64,few clouds
239,Aklavik,CA,68.2191,-135.0107,32.83,84,100,1.83,overcast clouds
240,Port Hardy,CA,50.6996,-127.4199,53.78,87,75,2.3,broken clouds
241,Ostrovnoy,RU,68.0531,39.5131,42.48,86,26,13.67,scattered clouds
242,Grafton,US,42.207,-71.6856,72.16,83,48,1.99,scattered clouds
243,Udachnyy,RU,66.4167,112.4,42.17,68,100,5.5,overcast clouds
244,Clyde River,CA,70.4692,-68.5914,27.5,73,79,7.47,broken clouds
245,Kurilsk,RU,45.2333,147.8833,53.94,74,43,14.16,scattered clouds
246,Andra,RU,62.5147,65.8878,40.95,73,16,1.36,few clouds
247,Faya,SA,18.3851,42.4509,60.91,36,49,1.77,scattered clouds
248,Oriximina,BR,-1.7656,-55.8661,80.19,63,100,2.84,overcast clouds
249,Kieta,PG,-6.2167,155.6333,83.62,72,100,5.93,light rain
250,Ailigandi,PA,9.2333,-78.0167,77.38,87,95,5.12,overcast clouds
251,Kyabe,TD,9.4515,18.9449,70.39,94,89,4.61,light rain
252,Iqaluit,CA,63.7506,-68.5145,31.73,86,90,11.5,light snow
