City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bethel,US,2021-09-23 19:42:12,41.3712,-73.414,79.48,81,90,3.0
1,Luangwa,ZM,2021-09-23 19:42:13,-15.6167,30.4167,70.0,63,5,4.63
2,Aborlan,PH,2021-09-23 19:42:13,9.4352,118.5492,77.83,84,95,4.36
3,Yining,CN,2021-09-23 19:42:13,29.0361,114.5636,74.43,86,50,1.9
4,Saint-Philippe,RE,2021-09-23 19:42:14,-21.3585,55.7679,69.35,76,38,11.95
5,Komsomolskiy,UZ,2021-09-23 19:38:31,40.4272,71.7189,65.12,42,0,6.91
6,Albany,US,2021-09-23 19:40:55,42.6001,-73.9662,79.63,71,100,14.14
7,Olinda,BR,2021-09-23 19:42:06,-8.0089,-34.8553,80.33,69,20,11.5
8,Lebu,CL,2021-09-23 19:42:14,-37.6167,-73.65,56.26,67,3,13.24
9,Ostrovnoy,RU,2021-09-23 19:42:15,68.0531,39.5131,45.52,89,26,20.89
10,New Norfolk,AU,2021-09-23 19:42:15,-42.7826,147.0587,45.9,78,94,6.55
11,Dambulla,LK,2021-09-23 19:42:15,7.86,80.6517,77.02,75,93,9.15
12,Bluff,NZ,2021-09-23 19:42:16,-46.6,168.3333,45.81,68,72,23.91
13,Arraial Do Cabo,BR,2021-09-23 19:38:47,-22.9661,-42.0278,71.56,56,75,12.66
14,Biasca,CH,2021-09-23 19:42:16,46.3597,8.9697,64.15,79,6,5.46
15,Carnarvon,AU,2021-09-23 19:42:16,-24.8667,113.6333,68.07,73,0,20.71
16,Butaritari,KI,2021-09-23 19:42:17,3.0707,172.7902,82.58,75,3,15.64
17,Kapaa,US,2021-09-23 19:42:17,22.0752,-159.319,80.58,76,75,3.0
18,Castro,BR,2021-09-23 19:42:17,-24.7911,-50.0119,66.74,49,100,6.24
19,Mardin,TR,2021-09-23 19:42:18,37.3131,40.7436,69.03,40,10,10.89
20,Torbay,CA,2021-09-23 19:42:18,47.6666,-52.7314,68.77,75,40,0.0
21,Lakes Entrance,AU,2021-09-23 19:42:18,-37.8811,147.981,61.57,70,0,7.38
22,Vaini,TO,2021-09-23 19:42:19,-21.2,-175.2,73.56,94,75,6.91
23,Najran,SA,2021-09-23 19:42:19,17.4924,44.1277,77.65,19,13,1.16
24,Hamilton,US,2021-09-23 19:40:18,39.1834,-84.5333,67.77,67,75,1.01
25,Nakhon Thai,TH,2021-09-23 19:42:19,17.1006,100.8374,73.42,98,100,0.72
26,Hobart,AU,2021-09-23 19:38:30,-42.8794,147.3294,46.26,81,40,1.99
27,Zhezkazgan,KZ,2021-09-23 19:42:20,47.8043,67.7144,45.34,57,0,14.65
28,Cape Town,ZA,2021-09-23 19:40:33,-33.9258,18.4232,61.88,85,40,11.5
29,Bredasdorp,ZA,2021-09-23 19:42:20,-34.5322,20.0403,58.32,77,100,11.5
30,Anadyr,RU,2021-09-23 19:42:21,64.75,177.4833,32.5,100,90,2.24
31,Port Elizabeth,ZA,2021-09-23 19:42:21,-33.918,25.5701,64.09,69,53,15.75
32,Fairbanks,US,2021-09-23 19:38:45,64.8378,-147.7164,36.3,61,75,2.3
33,Tarakan,ID,2021-09-23 19:42:21,3.3,117.6333,79.3,81,99,3.74
34,Adrar,MR,2021-09-23 19:42:22,20.5022,-10.0711,97.18,11,8,7.14
35,Alot,IN,2021-09-23 19:42:22,23.7667,75.55,76.64,87,99,8.1
36,Mataura,NZ,2021-09-23 19:42:22,-46.1927,168.8643,45.48,71,46,5.95
37,Tasiilaq,GL,2021-09-23 19:42:23,65.6145,-37.6368,37.56,61,86,3.71
38,Sao Filipe,CV,2021-09-23 19:42:23,14.8961,-24.4956,79.03,79,38,8.68
39,Rikitea,PF,2021-09-23 19:42:23,-23.1203,-134.9692,74.16,74,99,23.02
40,Iqaluit,CA,2021-09-23 19:42:23,63.7506,-68.5145,31.73,80,75,23.02
41,Punta Arenas,CL,2021-09-23 19:39:05,-53.15,-70.9167,50.11,46,40,20.71
42,San Policarpo,PH,2021-09-23 19:42:24,12.1791,125.5072,81.57,82,27,7.29
43,Bata,GQ,2021-09-23 19:42:24,1.8639,9.7658,76.78,78,87,2.59
44,Ushuaia,AR,2021-09-23 19:37:58,-54.8,-68.3,49.66,34,40,20.71
45,Mar Del Plata,AR,2021-09-23 19:42:24,-38.0023,-57.5575,57.22,88,90,3.44
46,Eregli,TR,2021-09-23 19:42:25,37.5133,34.0467,51.51,76,100,2.84
47,Severo-Kurilsk,RU,2021-09-23 19:42:25,50.6789,156.125,48.56,92,100,25.59
48,Kasongo-Lunda,CD,2021-09-23 19:42:26,-6.4667,16.8167,77.27,67,100,5.21
49,Thompson,CA,2021-09-23 19:42:26,55.7435,-97.8558,57.36,82,75,5.75
50,Christchurch,NZ,2021-09-23 19:41:41,-43.5333,172.6333,51.91,82,0,2.3
51,Busselton,AU,2021-09-23 19:42:27,-33.65,115.3333,44.1,80,0,10.31
52,Vila Velha,BR,2021-09-23 19:42:27,-20.3297,-40.2925,73.35,53,20,13.8
53,Half Moon Bay,US,2021-09-23 19:42:27,37.4636,-122.4286,96.06,70,75,5.75
54,Jamestown,US,2021-09-23 19:39:12,42.097,-79.2353,63.99,78,90,7.0
55,Longyearbyen,SJ,2021-09-23 19:41:38,78.2186,15.6401,46.24,61,40,13.8
56,Vao,NC,2021-09-23 19:42:28,-22.6667,167.4833,66.85,61,51,17.02
57,Isangel,VU,2021-09-23 19:42:28,-19.55,169.2667,69.91,73,26,8.05
58,Saint-Joseph,RE,2021-09-23 19:42:28,-21.3667,55.6167,68.36,75,18,12.62
59,Lompoc,US,2021-09-23 19:42:29,34.6391,-120.4579,84.22,80,40,4.0
60,Hilo,US,2021-09-23 19:42:29,19.7297,-155.09,82.27,65,1,3.44
61,Montepuez,MZ,2021-09-23 19:42:29,-13.1256,38.9997,70.59,76,5,7.27
62,Bardiyah,LY,2021-09-23 19:42:30,31.7561,25.0865,75.45,68,0,18.03
63,Tuktoyaktuk,CA,2021-09-23 19:42:30,69.4541,-133.0374,32.0,93,90,0.0
64,Shagonar,RU,2021-09-23 19:42:30,51.5333,92.8,41.99,70,100,2.37
65,San Quintin,MX,2021-09-23 19:42:31,30.4833,-115.95,77.49,64,73,12.35
66,Cabo San Lucas,MX,2021-09-23 19:40:26,22.8909,-109.9124,95.5,66,20,6.91
67,Hermanus,ZA,2021-09-23 19:42:31,-34.4187,19.2345,58.89,88,89,12.5
68,San Patricio,US,2021-09-23 19:42:31,28.017,-97.5169,88.21,23,11,6.33
69,Simoes,BR,2021-09-23 19:42:32,-7.5989,-40.8178,94.77,21,93,9.6
70,Gazanjyk,TM,2021-09-23 19:42:32,39.2446,55.5154,72.73,24,5,0.87
71,Akyab,MM,2021-09-23 19:42:32,20.15,92.9,79.93,86,100,4.7
72,Ponta Do Sol,PT,2021-09-23 19:42:33,32.6667,-17.1,72.23,61,95,5.46
73,Georgetown,MY,2021-09-23 19:42:20,5.4112,100.3354,80.89,86,20,0.0
74,Upernavik,GL,2021-09-23 19:42:33,72.7868,-56.1549,28.53,88,100,9.37
75,Vicksburg,US,2021-09-23 19:42:33,32.3526,-90.8779,80.28,39,1,9.22
76,Qaanaaq,GL,2021-09-23 19:42:34,77.484,-69.3632,16.63,63,95,6.33
77,Lata,PT,2021-09-23 19:42:34,40.1629,-8.3327,65.05,86,100,1.83
78,Trinidad,BO,2021-09-23 19:42:34,-14.8333,-64.9,93.18,52,36,8.05
79,Atuona,PF,2021-09-23 19:42:35,-9.8,-139.0333,78.1,75,12,17.4
80,Luau,AO,2021-09-23 19:42:35,-10.7073,22.2247,74.08,23,44,3.98
81,Filingue,NE,2021-09-23 19:42:35,14.3521,3.3168,93.34,37,100,9.24
82,Caravelas,BR,2021-09-23 19:42:36,-17.7125,-39.2481,72.48,64,12,12.12
83,Kozhva,RU,2021-09-23 19:42:36,65.1073,57.0459,39.45,95,100,4.68
84,Sambava,MG,2021-09-23 19:42:36,-14.2667,50.1667,69.73,82,59,11.68
85,Cayenne,GF,2021-09-23 19:42:37,4.9333,-52.3333,89.64,77,0,5.99
86,Tiksi,RU,2021-09-23 19:42:37,71.6872,128.8694,39.0,75,100,21.85
87,Sioux Lookout,CA,2021-09-23 19:42:37,50.1001,-91.917,71.67,37,20,11.5
88,Pavlohrad,UA,2021-09-23 19:42:37,48.5167,35.8667,47.35,88,11,3.42
89,Broome,US,2021-09-23 19:42:38,42.2506,-75.833,68.97,81,90,1.01
90,Noyabrsk,RU,2021-09-23 19:42:38,63.1994,75.4507,36.95,97,100,16.67
91,Esperance,AU,2021-09-23 19:42:38,-33.8667,121.9,51.64,65,100,13.09
92,Yellowknife,CA,2021-09-23 19:41:50,62.456,-114.3525,46.92,87,75,6.91
93,Faanui,PF,2021-09-23 19:42:39,-16.4833,-151.75,78.08,69,14,10.71
94,Washington,US,2021-09-23 19:41:53,47.5001,-120.5015,71.92,36,90,4.23
95,La Grande,US,2021-09-23 19:42:39,45.3246,-118.0877,70.14,56,51,3.58
96,Bathsheba,BB,2021-09-23 19:42:40,13.2167,-59.5167,90.21,58,20,10.36
97,Conceicao Do Araguaia,BR,2021-09-23 19:42:40,-8.2578,-49.2647,103.87,16,14,5.37
98,Port Alfred,ZA,2021-09-23 19:42:40,-33.5906,26.891,63.37,72,96,19.06
99,Saint Anthony,US,2021-09-23 19:42:41,45.0205,-93.218,75.15,37,1,1.01
100,Zenica,BA,2021-09-23 19:42:41,44.2014,17.9064,52.21,72,6,3.33
101,Mount Isa,AU,2021-09-23 19:42:41,-20.7333,139.5,62.38,16,11,10.29
102,Deputatskiy,RU,2021-09-23 19:42:42,69.3,139.9,30.96,89,100,5.64
103,Matagami,CA,2021-09-23 19:42:42,49.7502,-77.6328,51.91,66,90,6.91
104,Avarua,CK,2021-09-23 19:42:43,-21.2078,-159.775,73.45,64,75,4.61
105,Kaitangata,NZ,2021-09-23 19:42:43,-46.2817,169.8464,45.9,66,22,13.62
